tick,preco,DY,P_L,P_VP,P_ativos,margem_bruta,margem_EBIT,margem_liq,P_EBIT,EV_EBIT,divida_liq_EBIT,divida_liq_patrimonio,PSR,P_cap_giro,P_cirulante_liq,liq_corrente,ROE,ROA,ROIC,patrimonio_ativos,passivos_ativos,giro_ativos,receitas_5anos,lucros_5anos,liq_media_diaria,ano,margem_EBITDA,divida_liq_EBITDA,VPA,P_EBITDA,LPA,EV_EBITDA,liq_imediata
AALR3,10.89,0.8,69.45,0.99,0.49,24.4,10.06,1.77,12.23,17.61,5.39,0.44,1.23,-91.02,-0.64,0.98,1.43,0.71,4.36,0.49,0.51,0.4,22.24,0.0,9190647.37,2020,0.22,0.63,10.96,5.59,0.16,8.29,0.4
ABEV3,13.46,3.64,19.89,2.94,1.86,57.74,28.59,20.26,14.09,13.44,-0.65,-0.14,4.03,36.09,-2.56,1.23,14.77,9.37,19.35,0.63,0.37,0.46,6.67,-0.28,395449207.87,2020,0.38,0.05,4.58,10.51,0.68,10.16,0.53
ALPA4,28.08,0.2,69.05,5.77,3.14,51.19,8.15,6.8,57.56,50.98,-1.11,-0.11,4.69,12.21,-7.58,1.79,8.35,4.55,6.0,0.55,0.45,0.67,1.55,-1.97,59103410.47,2020,0.1,0.39,4.87,45.34,0.41,43.91,0.82
ALPK3,9.4,0.0,0.0,3.13,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,-7.35,-0.84,0.5,0.0,0.0,0.0,0.24,0.76,0.0,0.0,0.0,6210727.57,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALSO3,29.2,0.0,61.62,1.02,0.71,71.07,39.35,14.34,22.46,18.2,-4.26,-0.19,8.84,5.05,-0.84,9.03,1.65,1.15,3.72,0.7,0.3,0.08,18.45,-27.08,70559096.27,2020,0.58,0.0,28.67,14.91,0.48,12.2,7.71
ALUP11,23.89,1.38,5.1,0.9,0.35,49.37,47.57,29.42,3.16,5.51,2.35,0.67,1.5,2.4,-0.47,2.43,17.54,6.89,10.14,0.39,0.61,0.23,25.59,16.91,18324520.97,2020,0.49,1.1,26.69,3.05,4.69,5.3,1.67
AMAR3,8.53,0.0,-12.5,1.69,0.65,45.06,-0.34,-6.27,-231.42,-335.21,-103.79,0.76,0.78,2.78,-1.43,1.76,-13.49,-5.23,-1.33,0.39,0.61,0.83,-2.93,0.0,66609408.43,2020,0.03,0.95,5.07,27.85,-0.68,40.86,0.24
ANIM3,23.32,0.0,-38.95,1.56,0.77,44.54,5.91,-5.37,35.4,39.39,3.99,0.18,2.09,2.74,-1.25,3.81,-4.0,-1.98,2.39,0.5,0.5,0.37,11.24,0.0,12061464.03,2020,0.06,0.74,20.76,25.71,-0.82,30.15,2.77
APER3,23.97,0.22,-124.18,1.56,1.05,100.0,-2.57,-2.36,-113.85,-81.07,32.78,-0.45,2.93,4.32,-1.72,2.61,-1.26,-0.84,-1.38,0.67,0.33,0.36,-16.64,-31.12,2292472.17,2020,0.06,0.0,15.33,47.68,-0.26,33.49,2.03
ARZZ3,44.28,1.31,24.43,5.33,2.11,46.23,13.74,9.83,17.48,17.46,-0.01,0.0,2.4,5.11,-8.25,2.26,21.82,8.65,13.02,0.4,0.6,0.88,9.79,7.54,22582186.07,2020,0.18,0.81,8.3,13.31,1.84,13.66,0.99
AZUL4,22.26,0.0,-3.22,-2.9,1.49,-0.78,-11.73,-74.27,-20.42,-34.55,-14.13,0.0,2.39,-4.53,-1.84,0.37,90.1,-46.19,-15.39,-0.51,1.51,0.62,14.54,0.0,496253449.53,2020,0.2,-2.14,-29.27,3.11,-26.37,11.16,0.13
B3SA3,49.79,2.87,32.73,4.12,2.49,100.0,59.44,48.68,26.81,25.31,-1.5,-0.23,15.93,54.15,-3.5,1.19,12.58,7.61,10.47,0.61,0.39,0.16,23.81,22.64,602513439.63,2020,0.68,0.21,12.09,20.99,1.52,19.8,1.1
BBSE3,26.6,10.53,8.15,8.73,4.56,0.0,0.0,0.0,6.25,6.25,0.0,0.0,0.0,39.1,-8.48,1.34,107.08,55.99,0.0,0.52,0.48,0.0,0.0,14.01,137119153.1,2020,0.0,0.0,3.05,0.0,3.26,0.0,1.13
BEEF3,13.02,0.0,19.84,10.91,0.39,19.26,8.7,1.82,4.14,7.68,3.54,9.32,0.36,1.28,-1.15,1.88,54.99,1.98,11.35,0.04,0.96,1.09,19.63,0.0,134530928.97,2020,0.1,20.24,1.43,3.14,0.79,5.97,1.12
BKBR3,11.8,0.43,-265.19,1.55,0.78,61.65,1.71,-0.36,55.2,59.79,4.59,0.13,0.94,33.89,-0.99,1.12,-0.58,-0.3,1.36,0.51,0.49,0.83,433.99,0.0,25665127.27,2020,0.07,0.4,7.61,13.54,-0.04,14.66,0.74
BRAP4,35.52,2.25,2191.87,1.17,1.12,0.0,0.0,0.0,-3330.33,-3225.37,-6.94,0.0,0.0,44.62,-1.18,2.0,0.05,0.05,-0.04,0.95,0.05,0.0,0.0,0.0,98338692.67,2020,0.0,0.02,30.23,0.0,0.01,0.0,0.72
BRDT3,22.76,2.04,13.47,2.95,0.92,5.67,1.41,2.1,20.1,23.4,3.29,0.48,0.28,3.84,-1.93,1.85,21.87,6.83,1.76,0.31,0.69,3.25,-0.73,14.51,180716927.6,2020,0.02,1.15,7.73,14.95,1.69,17.86,0.73
BRFS3,21.32,0.0,13.62,2.55,0.37,25.15,9.56,3.63,5.17,9.56,4.39,2.16,0.49,5.5,-0.62,1.19,18.71,2.69,11.11,0.14,0.86,0.74,2.89,-33.13,261826219.93,2020,0.14,3.38,8.36,3.72,1.57,6.59,0.51
BRKM5,24.51,3.42,-2.35,-6.82,0.25,11.65,-3.45,-15.99,-10.89,0.0,-14.76,0.0,0.38,3.34,-0.38,1.29,289.77,-10.76,-14.9,-0.04,1.04,0.67,3.0,0.0,127655749.5,2020,0.02,-13.55,-3.6,18.39,-10.0,42.21,0.62
BRML3,10.5,7.87,6.81,0.78,0.48,89.4,159.17,108.24,4.63,5.7,1.07,0.18,7.37,12.29,-0.51,2.72,11.51,7.05,10.48,0.61,0.39,0.07,-1.04,18.24,170254995.63,2020,1.64,0.26,13.41,4.46,1.54,5.53,2.02
BRPR3,9.12,0.95,9.08,0.62,0.45,100.0,213.72,138.29,5.88,6.58,0.7,0.07,12.56,3.78,-0.53,5.15,6.84,4.97,7.88,0.73,0.27,0.04,-14.64,3.09,34335246.93,2020,2.14,0.24,14.68,5.92,1.0,6.57,4.29
BTOW3,101.66,0.0,-185.36,9.45,3.3,29.67,1.59,-4.0,466.3,468.4,2.1,0.04,7.41,10.68,-7.97,2.11,-5.1,-1.78,-0.04,0.35,0.65,0.45,-3.2,0.0,474710807.33,2020,0.09,1.21,10.76,79.83,-0.55,81.55,1.46
CAML3,10.61,1.85,16.38,1.75,0.82,23.18,5.53,4.44,13.16,16.93,3.77,0.5,0.73,2.7,-1.86,2.17,10.65,4.98,7.47,0.47,0.53,1.12,7.98,17.95,16496948.13,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARD3,12.65,2.46,16.72,2.0,1.1,26.47,11.71,7.14,10.19,11.75,1.56,0.31,1.19,-153.53,-1.49,0.97,11.96,6.55,11.33,0.55,0.45,0.92,1.77,18.99,3153351.93,2020,0.25,0.41,6.32,4.76,0.81,5.5,0.2
CCRO3,14.26,5.35,21.42,3.17,0.85,41.71,32.72,12.42,8.13,12.07,3.93,1.53,2.66,-97.46,-1.08,0.96,14.79,3.97,9.42,0.27,0.73,0.32,7.44,1.11,141689575.07,2020,0.51,2.09,4.5,5.05,0.67,7.66,0.67
CEAB3,11.74,2.16,21.91,1.34,0.62,48.71,7.13,3.16,9.72,13.54,3.82,0.52,0.69,6.17,-0.97,1.4,6.09,2.85,7.79,0.47,0.53,0.9,0.0,0.0,31377184.7,2020,0.16,0.63,8.79,4.25,0.54,5.96,0.19
CESP6,28.01,6.6,6.67,1.3,0.7,42.22,50.4,82.03,10.86,0.0,1.03,0.12,5.47,37.01,-0.78,1.23,19.52,10.48,-1.57,0.54,0.46,0.13,-20.2,15.73,73152079.5,2020,0.75,0.26,21.51,7.35,4.2,8.03,0.88
CGAS5,185.01,9.38,15.86,32.11,2.89,34.28,24.67,15.84,10.18,0.0,1.91,6.02,2.51,269.8,-4.1,1.04,202.51,18.25,27.94,0.09,0.91,1.15,8.3,17.45,617224.83,2020,0.27,7.01,5.76,9.26,11.67,10.94,0.31
CIEL3,4.89,2.6,11.09,1.44,0.16,46.45,22.14,23.59,11.82,12.12,0.31,0.04,2.62,2.01,-1.06,1.1,12.95,1.42,4.32,0.11,0.89,0.06,7.99,-11.13,150483072.73,2020,0.3,1.09,3.41,8.96,0.44,8.84,0.15
CLSC4,52.99,3.63,5.76,1.32,0.22,13.04,7.15,4.44,3.57,5.72,2.23,0.82,0.26,3.94,-0.31,1.23,22.88,3.77,13.06,0.16,0.84,0.85,4.99,-11.18,1085986.2,2020,0.1,1.04,40.21,2.49,9.26,4.13,0.15
CMIG4,10.84,2.53,6.95,1.0,0.31,22.03,9.57,8.9,6.47,12.14,5.5,0.85,0.62,5.81,-0.4,1.35,14.36,4.51,4.16,0.31,0.69,0.51,5.38,-0.06,142919925.73,2020,0.13,1.0,10.85,4.76,1.56,8.53,0.3
CNTO3,33.08,0.0,25.74,6.82,2.03,49.45,18.41,12.17,17.01,16.86,-0.15,-0.06,3.13,17.07,-3.36,1.43,26.5,7.87,30.84,0.3,0.7,0.65,0.0,0.0,81005008.4,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCE5,55.5,3.83,8.99,1.35,0.47,15.79,11.79,8.61,6.56,0.0,3.72,0.76,0.77,48.14,-0.65,1.04,15.0,5.28,9.43,0.35,0.65,0.61,8.25,9.99,2190700.73,2020,0.17,0.84,41.14,4.64,6.19,7.22,0.1
COGN3,6.43,0.6,-265.97,0.66,0.33,59.2,11.52,-0.67,15.37,27.13,11.76,0.5,1.77,3.81,-0.4,1.97,-0.25,-0.13,2.45,0.5,0.5,0.19,13.24,-24.68,334649058.53,2020,0.18,0.66,11.13,8.38,-0.03,16.32,0.89
CPFE3,31.78,0.0,11.88,2.52,0.76,22.41,16.14,10.24,7.54,11.07,3.53,1.18,1.22,10.32,-1.05,1.36,21.2,6.4,9.31,0.3,0.7,0.62,11.46,25.4,153950283.07,2020,0.22,1.56,12.62,5.49,2.68,8.16,0.57
CPLE6,63.5,3.88,6.75,0.96,0.45,27.65,19.9,12.62,4.28,0.0,2.02,0.45,0.85,6.35,-0.57,1.53,14.21,6.72,10.77,0.47,0.53,0.53,3.14,9.08,118838760.5,2020,0.25,0.62,66.17,4.3,7.56,6.24,0.58
CRFB3,18.45,1.32,29.35,2.42,0.87,20.55,4.5,2.02,13.16,14.8,1.65,0.3,0.59,14.6,-1.57,1.16,8.24,2.97,8.56,0.36,0.64,1.47,10.32,12.5,148508182.43,2020,0.06,0.39,7.63,9.76,0.63,10.57,0.09
CSAN3,66.73,2.24,12.12,2.3,0.79,30.23,26.39,15.54,7.13,9.92,2.79,0.9,1.88,5.64,-1.11,1.97,19.0,6.54,12.15,0.34,0.66,0.42,10.73,31.02,122681605.97,2020,0.29,1.19,28.98,6.44,5.51,8.89,0.69
CSMG3,58.41,1.61,10.16,1.08,0.63,42.41,22.46,13.94,6.31,8.55,2.24,0.38,1.42,8.42,-0.77,1.76,10.62,6.22,8.94,0.59,0.41,0.45,4.54,18.85,59716743.87,2020,0.34,0.49,54.11,4.07,5.76,5.58,0.62
CSNA3,10.67,2.89,17.5,2.74,0.28,30.31,9.92,3.42,6.03,18.52,12.49,5.68,0.6,6.13,-0.39,1.2,15.65,1.6,3.34,0.1,0.9,0.47,9.54,0.0,153490399.57,2020,0.16,6.59,3.9,3.84,0.61,11.12,0.41
CVCB3,20.53,2.03,13.4,2.21,0.44,91.91,25.37,11.99,6.33,8.67,2.34,0.81,1.61,1.84,-1.61,1.49,16.48,3.3,14.69,0.2,0.8,0.28,21.43,18.82,122751038.33,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYRE3,20.83,8.74,15.98,1.6,0.81,31.73,14.84,13.47,14.5,16.64,2.13,0.24,2.15,2.56,-1.78,2.38,10.0,5.06,6.33,0.51,0.49,0.38,-7.54,-8.46,163260451.23,2020,0.17,0.48,13.03,13.08,1.31,14.83,0.55
DIRR3,11.62,4.3,15.95,1.28,0.37,34.36,12.97,7.98,9.81,10.67,0.86,0.11,1.27,1.01,-0.71,4.24,8.04,2.32,6.41,0.29,0.71,0.29,-4.5,-12.25,14111313.47,2020,0.15,0.69,9.4,8.21,0.76,8.75,1.46
DMMO3,1.49,0.0,-3.18,-0.83,0.3,12.47,-19.75,-28.88,-4.65,-12.28,-7.63,0.0,0.92,-1.67,-0.36,0.48,26.22,-9.44,-28.54,-0.36,1.36,0.33,-15.03,0.0,14974425.93,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTEX3,11.96,3.12,19.07,1.73,0.79,27.46,13.77,8.51,11.78,14.72,2.93,0.43,1.62,4.69,-1.22,1.92,9.08,4.14,7.46,0.46,0.54,0.49,4.69,0.61,38809752.2,2020,0.27,0.71,6.91,6.08,0.63,7.37,0.69
ECOR3,13.25,0.0,-39.92,16.26,0.64,38.05,20.13,-4.69,9.3,17.67,8.37,14.63,1.87,-4.4,-0.8,0.58,-40.73,-1.61,5.64,0.04,0.96,0.34,6.12,0.0,58678914.07,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGIE3,42.9,3.56,15.15,5.0,1.16,42.34,43.81,23.57,8.15,10.69,2.54,1.56,3.57,45.69,-1.5,1.13,33.02,7.67,16.17,0.23,0.77,0.33,8.66,10.81,82032943.63,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELET3,29.15,0.0,4.71,0.64,0.26,74.35,29.31,34.37,5.53,0.0,4.37,0.51,1.62,2.53,-0.34,1.74,13.57,5.43,5.75,0.4,0.6,0.16,-1.65,0.0,147254607.23,2020,0.36,0.72,52.88,3.82,7.17,7.37,0.63
EMBR3,8.62,0.0,-2.65,0.37,0.11,14.79,-5.02,-22.61,-11.93,-8.93,3.01,-0.09,0.6,0.59,-0.62,1.3,-14.1,-4.19,-9.24,0.3,0.7,0.19,-6.86,0.0,194627156.3,2020,-0.02,0.21,23.06,-38.39,-3.25,-27.16,0.14
ENAT3,10.17,11.24,11.2,0.87,0.56,31.44,18.28,20.2,12.38,4.93,-7.44,-0.52,2.26,1.59,-1.06,4.03,7.73,5.0,5.5,0.65,0.35,0.25,17.18,2.03,25904553.97,2020,0.42,0.08,11.75,5.43,0.91,2.14,3.33
ENBR3,17.76,3.29,7.49,1.03,0.4,19.25,15.16,9.26,4.57,7.12,2.54,0.57,0.69,6.73,-0.54,1.29,13.73,5.29,9.85,0.39,0.61,0.57,11.35,12.08,46339740.63,2020,0.19,0.81,17.32,3.56,2.38,5.62,0.45
ENEV3,40.98,0.0,19.93,1.81,0.93,39.62,29.84,18.74,12.52,16.31,3.8,0.55,3.73,10.46,-1.13,2.01,9.07,4.68,8.1,0.52,0.48,0.25,11.78,0.0,68647723.27,2020,0.45,0.77,22.69,8.23,2.06,10.8,1.32
ENGI11,48.21,1.24,17.85,2.49,0.42,16.21,11.86,4.92,7.41,13.87,6.47,2.17,0.88,9.43,-0.58,1.2,13.93,2.36,7.59,0.17,0.83,0.48,19.08,11.59,89098768.07,2020,0.18,2.71,19.39,4.97,2.7,9.34,0.41
EQTL3,21.43,0.0,7.97,2.22,0.58,30.48,22.92,14.45,5.03,7.57,2.55,1.12,1.15,4.11,-0.83,1.86,27.79,7.24,12.58,0.26,0.74,0.5,22.53,28.32,183866247.03,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETER3,3.18,0.0,-50.07,-5.73,0.18,14.27,10.14,-0.42,2.08,4.41,2.33,0.0,0.21,-13.15,-0.33,0.97,11.45,-0.37,-8.02,-0.03,1.03,0.87,-12.96,0.0,1822798.23,2020,0.14,-7.24,-0.54,1.51,-0.06,3.18,0.04
EVEN3,9.16,1.55,14.62,1.0,0.39,25.06,8.35,7.23,12.67,15.56,2.9,0.23,1.06,0.84,-1.67,2.48,6.86,2.64,3.43,0.39,0.61,0.37,-2.81,-12.22,20492266.57,2020,0.09,0.74,8.93,11.95,0.62,14.78,0.64
EZTC3,37.84,0.78,24.37,2.21,1.97,41.32,28.16,38.84,33.61,28.65,-4.96,-0.33,9.46,4.66,-3.98,6.18,9.06,8.09,5.96,0.89,0.11,0.21,-3.3,-9.33,96004700.0,2020,0.29,0.0,17.13,33.68,1.56,27.79,3.57
FESA4,17.5,4.46,8.84,0.91,0.54,18.06,12.22,13.7,9.91,13.97,1.98,0.18,1.21,5.15,-0.75,1.64,10.35,6.16,5.56,0.6,0.4,0.45,9.09,19.29,7726512.07,2020,0.21,0.32,19.12,5.81,1.98,6.97,0.48
FHER3,3.45,0.0,0.28,5.92,0.12,6.62,-12.94,55.29,-1.22,-2.15,-0.93,4.54,0.16,0.72,-0.23,1.51,2081.32,41.34,-208.93,0.02,0.98,0.75,-27.63,141.43,627194.93,2020,-0.05,-0.82,-3.21,-2.7,10.05,-4.7,0.05
FLRY3,24.8,3.78,28.21,4.84,1.53,29.22,17.73,9.54,15.18,16.77,1.58,0.51,2.69,11.47,-2.1,1.94,17.16,5.41,13.14,0.32,0.68,0.57,11.59,29.49,59960169.5,2020,0.29,0.95,5.12,9.35,0.88,10.3,1.0
FRAS3,5.15,2.14,32.89,1.35,0.67,26.24,7.95,2.46,10.18,12.4,2.22,0.29,0.81,2.61,-1.19,2.46,4.11,2.05,5.42,0.5,0.5,0.83,12.3,-6.17,691091.43,2020,0.11,0.47,3.81,7.4,0.16,8.8,0.49
GBIO33,9.99,0.0,665.09,1.44,0.85,46.49,9.49,0.22,15.1,17.12,2.02,0.19,1.43,7.22,-1.56,1.36,0.22,0.13,3.97,0.59,0.41,0.6,12.83,-38.45,1371664.07,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFSA3,4.8,0.0,81.74,0.65,0.23,34.98,8.11,1.87,18.85,30.2,11.35,0.39,1.53,0.8,-0.76,1.7,0.8,0.28,-0.25,0.35,0.65,0.15,-24.01,0.0,22805320.57,2020,0.11,0.8,7.35,13.06,0.06,21.7,0.35
GGBR4,13.62,1.03,23.76,0.8,0.39,9.76,6.87,2.54,8.78,13.66,5.27,0.48,0.6,2.24,-0.58,2.03,3.36,1.63,4.76,0.48,0.52,0.64,-1.4,-3.95,258413592.93,2020,0.12,0.68,17.05,5.35,0.57,7.79,0.59
GNDI3,62.86,0.27,78.87,5.8,2.84,27.5,11.04,5.3,37.9,37.95,0.06,0.01,4.18,-451.69,-3.6,0.97,7.36,3.61,8.32,0.49,0.51,0.68,0.0,0.0,232362050.73,2020,0.14,0.22,10.84,30.01,0.8,30.08,0.49
GOAU4,6.43,1.24,7.16,0.24,0.12,9.76,6.85,2.51,2.63,7.85,5.28,0.48,0.18,0.66,-0.17,2.04,3.32,1.61,4.74,0.48,0.52,0.64,-1.4,1.6,102276855.87,2020,0.12,0.68,27.02,1.58,0.9,4.4,0.59
GRND3,7.67,3.45,15.44,1.92,1.65,45.81,17.8,22.19,19.24,16.29,-2.95,-0.29,3.43,3.28,-4.37,5.14,12.45,10.66,8.44,0.86,0.14,0.48,-1.5,0.4,15052171.2,2020,0.22,0.09,3.99,15.62,0.5,13.27,2.72
GSHP3,50.85,0.0,-0.31,-0.32,0.05,67.92,86.47,-270.8,0.97,14.14,13.17,0.0,0.84,0.64,-0.07,1.58,103.58,-17.64,4.67,-0.17,1.17,0.07,-11.13,0.0,84188.38,2020,0.89,-5.46,-4.41,34.13,-4.55,46.9,1.26
GUAR3,15.9,3.39,15.39,1.53,0.66,63.04,9.2,6.6,11.05,13.25,2.2,0.31,1.02,2.82,-1.56,1.69,9.95,4.31,7.81,0.43,0.57,0.65,10.55,4.3,24531891.4,2020,0.12,0.56,10.38,8.32,1.04,9.78,0.33
HAPV3,60.67,0.55,55.58,6.07,3.52,38.76,16.62,12.56,42.0,42.17,0.17,0.02,6.98,54.77,-4.49,1.43,10.92,6.34,8.49,0.58,0.42,0.5,0.0,0.0,138029262.67,2020,0.21,0.28,9.99,33.74,1.09,33.84,0.98
HGTX3,14.47,3.74,13.59,1.67,1.23,43.23,8.94,11.96,18.19,15.84,-2.34,-0.22,1.63,2.75,-3.86,2.9,12.32,9.04,7.37,0.73,0.27,0.76,-1.59,-7.61,64130334.37,2020,0.14,0.13,8.64,11.59,1.06,10.23,1.08
HYPE3,32.95,3.37,19.27,2.37,1.72,65.56,25.03,29.01,22.34,22.09,-0.25,-0.03,5.59,6.62,-2.82,3.0,12.3,8.93,7.29,0.73,0.27,0.31,3.54,23.65,135921665.17,2020,0.28,0.23,13.9,19.41,1.71,19.58,1.43
IGTA3,35.6,0.6,23.17,2.09,1.07,64.95,64.32,36.85,13.28,16.72,3.44,0.54,8.54,9.34,-1.29,2.86,9.02,4.6,6.76,0.51,0.49,0.12,5.5,6.38,92013386.53,2020,0.78,0.84,17.03,10.76,1.54,13.71,2.5
IRBR3,10.42,2.04,5.53,2.1,0.57,19.25,13.78,26.66,10.7,10.7,0.0,0.0,1.47,-30.89,-1.58,0.97,38.0,10.27,0.0,0.27,0.73,0.39,17.19,24.0,434677127.57,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITSA4,9.58,9.08,8.84,1.47,1.25,27.44,195.65,178.72,8.08,8.59,0.1,0.02,15.8,20.51,-1.39,2.58,16.57,14.16,16.32,0.85,0.15,0.08,-0.05,5.31,337212985.37,2020,2.09,0.08,6.54,7.7,1.08,7.63,1.44
JBSS3,21.48,2.52,-99.23,1.74,0.38,15.41,6.5,-0.27,4.16,8.21,4.05,1.7,0.27,2.35,-0.62,1.74,-1.76,-0.39,12.07,0.22,0.78,1.41,11.17,21.85,493983712.0,2020,0.09,2.25,12.31,2.87,-0.22,5.62,0.55
JHSF3,5.94,1.4,11.59,1.25,0.65,49.43,89.6,48.44,6.26,7.49,1.22,0.25,5.61,8.52,-0.76,2.09,10.83,5.6,11.02,0.52,0.48,0.12,1.62,49.95,45574825.67,2020,0.94,0.38,4.76,5.96,0.52,7.15,1.02
JPSA3,23.5,0.0,8.56,0.68,0.34,64.99,60.86,32.74,4.6,8.36,3.75,0.56,2.8,3.07,-0.42,2.7,7.99,4.01,6.19,0.5,0.5,0.12,5.51,0.0,10537548.93,2020,0.79,0.87,34.38,3.61,2.75,6.44,2.37
JSLG3,21.75,1.12,26.33,1.96,0.21,21.32,9.88,1.75,4.65,14.21,9.56,4.04,0.46,0.88,-0.38,2.13,7.45,0.8,5.12,0.11,0.89,0.46,11.83,34.48,24521965.37,2020,0.2,6.88,11.13,2.24,0.84,7.05,1.44
KLBN11,19.26,3.49,-9.34,6.09,0.62,34.29,25.31,-21.51,7.94,15.7,7.76,5.96,2.01,2.31,-0.96,3.93,-65.24,-6.6,2.52,0.1,0.9,0.31,15.98,-0.43,198775499.5,2020,0.36,8.07,3.16,5.52,-2.06,10.94,2.34
LAME4,31.98,0.57,86.75,6.85,1.53,36.15,10.61,3.07,25.12,27.18,3.59,0.98,2.66,5.46,-3.59,1.95,7.9,1.76,7.21,0.22,0.78,0.57,3.26,10.35,293327110.87,2020,0.16,2.49,4.71,16.51,0.37,19.21,1.15
LCAM3,15.86,2.83,23.46,2.04,0.75,26.65,15.59,6.9,10.38,15.19,4.81,0.94,1.62,11.7,-0.99,1.36,8.69,3.19,7.72,0.37,0.63,0.46,50.13,68.64,59480669.2,2020,0.26,1.24,7.78,6.32,0.68,9.19,0.6
LEVE3,19.09,3.34,11.5,1.84,0.87,25.56,12.68,8.6,7.8,8.68,0.88,0.21,0.99,4.52,-1.9,1.56,16.0,7.6,13.65,0.47,0.53,0.88,1.6,5.4,9569506.6,2020,0.17,0.57,10.37,5.93,1.67,6.62,0.5
